ID,Name,Creator (screenshot),Category,Planning min g (NOT verified),Planning max g (NOT verified),Proposed W x D x H cm (NOT measured),Estimated price min JPY,Estimated price max JPY,Verified weight g,Verified dimensions mm,Verification status,Model URL,Search URL,Original screenshot
P001,Daniela Spiral Vase,BotanyChic,Vases & planters,35,70,8.0 x 8.0 x 15.0,219,388,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Daniela%20Spiral%20Vase%20BotanyChic,originals/printables/Screenshot 2026-09-06 at 21.46.24.png
P002,Dog Phone Holder,Stanislav Joukl,Desk & everyday,25,50,7.0 x 7.0 x 10.0,135,270,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Dog%20Phone%20Holder%20Stanislav%20Joukl,originals/printables/Screenshot 2026-09-06 at 21.46.28.png
P003,Cute Kitty Phone Holder,Q_Craft,Desk & everyday,40,75,8.0 x 9.0 x 12.0,286,455,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Cute%20Kitty%20Phone%20Holder%20Q_Craft,originals/printables/Screenshot 2026-09-06 at 21.46.33.png
P004,Baroque Photo Frame,bixov,Gifts & keychains,25,60,10.0 x 1.5 x 14.0,135,304,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Baroque%20Photo%20Frame%20bixov,originals/printables/Screenshot 2026-09-06 at 21.46.37.png
P005,Minimalist Backflow Incense Ornament,miguepc,Home décor,60,110,12.0 x 9.0 x 5.0,354,574,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Minimalist%20Backflow%20Incense%20Ornament%20miguepc,originals/printables/Screenshot 2026-09-06 at 21.46.41.png
P006,South Indian Temple Mandapam,Krish 01,Temples & festive,150,280,17.0 x 15.0 x 15.0,810,1352,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=South%20Indian%20Temple%20Mandapam%20Krish%2001,originals/printables/Screenshot 2026-09-06 at 21.46.45.png
P007,Kakatiyan Tabletop Mandir,rohijoshi2109,Temples & festive,70,140,10.0 x 10.0 x 15.0,388,676,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Kakatiyan%20Tabletop%20Mandir%20rohijoshi2109,originals/printables/Screenshot 2026-09-06 at 21.46.49.png
P008,Ganesha Statue Figurine,MonsieurPierre,God figures,70,130,9.0 x 8.0 x 13.0,388,642,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Ganesha%20Statue%20Figurine%20MonsieurPierre,originals/printables/Screenshot 2026-09-06 at 21.46.53.png
P009,Taj Mahal Miniature,ARTIFECT3D WORKS,Home décor,130,230,17.0 x 17.0 x 15.0,742,1182,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Taj%20Mahal%20Miniature%20ARTIFECT3D%20WORKS,originals/printables/Screenshot 2026-09-06 at 21.46.58.png
P010,Sacred Skyline Gopuram,Mat Prints 3D,Temples & festive,80,160,9.0 x 8.0 x 16.0,497,844,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Sacred%20Skyline%20Gopuram%20Mat%20Prints%203D,originals/printables/Screenshot 2026-09-06 at 21.47.01.png
P011,Flower Cutout Bookmark,human_37,Gifts & keychains,5,12,4.0 x 0.2 x 15.0,125,175,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Flower%20Cutout%20Bookmark%20human_37,originals/printables/Screenshot 2026-09-06 at 21.47.06.png
P012,Ribbon Keychain & Magnet,A_jitterish,Gifts & keychains,6,15,5.0 x 1.5 x 4.0,125,175,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Ribbon%20Keychain%20%26%20Magnet%20A_jitterish,originals/printables/Screenshot 2026-09-06 at 21.47.10.png
P013,Fidget Heart Keychain,FreshPrintsBA,Gifts & keychains,8,18,5.0 x 0.8 x 5.0,125,175,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Fidget%20Heart%20Keychain%20FreshPrintsBA,originals/printables/Screenshot 2026-09-06 at 21.47.15.png
P014,Mini Sneaker Keychain,SNEAKERS BY FORMASTAMPA,Gifts & keychains,10,22,3.0 x 6.0 x 3.0,125,175,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Mini%20Sneaker%20Keychain%20SNEAKERS%20BY%20FORMASTAMPA,originals/printables/Screenshot 2026-09-06 at 21.47.19.png
P015,Personalised Name Keychain,Stampa 3D AV Studio,Gifts & keychains,8,20,9.0 x 0.6 x 3.0,125,175,,,Awaiting exact model and sliced A1 mini profile,,https://makerworld.com/en/search/models?keyword=Personalised%20Name%20Keychain%20Stampa%203D%20AV%20Studio,originals/printables/Screenshot 2026-09-06 at 21.47.23.png
